"Flugpassagiere im Linien- und Charterverkehr"
"FILTER:Flugpassagiere im Linien- und Charterverkehr nach Flughafen, Art des Verkehrs, Art der Passagiere, Monat und Jahr"
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"Mai";...;...;...;...;...;...;...;...;...;...;...;41725;37474;41610;28334;23621;30718;29537;16718;26415;20456;11505;11991;12339;15136;11406;5609;5605;3927;3329;5163
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"Juni";...;...;...;...;...;...;...;...;...;...;...;41477;39844;44662;31541;22745;28208;33688;15498;24584;16647;12105;11136;15979;14143;7544;7464;5304;4049;7053;8638
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"Juli";...;...;...;...;...;...;...;...;...;...;...;57358;43502;46343;29608;24561;26516;32833;22786;20980;21837;12243;14657;13066;9901;5061;6249;4281;3634;5160;8620
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"August";...;...;...;...;...;...;...;...;...;...;...;58979;36581;47615;29221;23692;24035;36644;22778;23201;18960;9608;11693;16682;13353;5191;5495;3856;3468;4646;8883
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"September";...;...;...;...;...;...;...;...;...;...;...;50796;33089;41671;29593;27396;26031;37040;18599;20006;18750;12159;12450;12941;12623;6214;6399;4750;4872;3301;8125
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"Oktober";...;...;...;...;...;...;...;...;...;...;...;48938;39711;46354;33355;27395;25394;32555;15368;19218;19712;16220;10306;12636;9913;7494;7532;6485;6335;4851;...
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"November";...;...;...;...;...;...;...;...;...;...;...;37427;34050;35746;32019;27842;32907;34002;15487;10329;16215;9088;6745;8950;8347;7561;6388;4035;6002;4990;...
"Schweiz";"Art des Verkehrs - Total";"Transitpassagiere";"Dezember";...;...;...;...;...;...;...;...;...;...;...;34718;31269;32703;27340;30257;33555;34427;18139;11502;17092;11110;6903;8255;8141;6428;7320;4729;6378;4399;...
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Jahrestotal";253841;2023236;6337115;10841892;12793091;17429429;20125817;21357627;23441048;25458347;28247600;30903947;28935233;25550674;24738668;25496561;28096814;31017882;33826265;36221048;35853037;37991700;41704038;43341576;44675890;46558454;48626319;51334271;54451314;56940045;...
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Januar";...;...;...;...;...;...;...;...;...;...;...;2123298;2315407;1827095;1949223;1896797;2122185;2262803;2481407;2660457;2603139;2790923;3069189;3153954;3193823;3278297;3386742;3547485;3776655;3899131;4062832
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Februar";...;...;...;...;...;...;...;...;...;...;...;2145441;2280406;1828011;1894895;1904707;2003398;2185088;2429952;2737642;2495580;2731144;2950435;3136229;3163435;3194606;3322292;3600710;3754267;3897336;4016247
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"März";...;...;...;...;...;...;...;...;...;...;...;2653625;2779161;2262550;2181061;2162190;2456481;2626203;2938129;3245513;2913776;3229443;3421686;3634283;3813951;3791651;3946855;4159414;4383486;4625328;4782205
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"April";...;...;...;...;...;...;...;...;...;...;...;2658217;2701251;2121829;1963753;2154775;2337373;2636797;2854926;3047704;3048494;2640490;3484694;3705035;3778110;3962750;4099750;4189023;4733623;4939360;5031945
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Mai";...;...;...;...;...;...;...;...;...;...;...;2670403;2598482;2139870;1911576;2059761;2313382;2747762;2786904;3136246;2954961;3164541;3510734;3659301;3856076;3926685;4188776;4408326;4580298;4868555;4937770
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Juni";...;...;...;...;...;...;...;...;...;...;...;2674116;2733623;2240332;2106610;2186748;2395451;2711607;2894050;3101783;3119055;3265049;3635995;3778890;3919607;4140823;4204640;4380204;4796730;4985551;5247538
"Schweiz";"Linienverkehr";"Lokal- und Transferpassagiere";"Juli";...;...;...;...;...;...;...;...;...;...;...;2939729;2909758;2386579;2302687;2370141;2668194;2889796;3192931;9285733;3419617;3726556;4117572;4202335;4330758;4508693;4827858;5153155;5435796;5606061;5698881
