"Flugbewegungen (Starts und Landungen) im Linien- und Charterverkehr"
"FILTER:Flugbewegungen (Starts und Landungen) im Linien- und Charterverkehr nach Flughafen, Art des Verkehrs, Monat, Jahr"
"Schweiz";"Linienverkehr";"November";...;...;...;...;...;...;...;...;...;...;...;41116;34614;36150;29311;32547;30334;30835;32398;30901;31256;32834;34072;33831;32881;33352;33613;33931;33577;34641;...
"Schweiz";"Linienverkehr";"Dezember";...;...;...;...;...;...;...;...;...;...;...;39001;33079;35261;29372;31453;30611;31179;32534;31392;31262;31380;34932;34176;33150;34251;34672;35809;34990;36900;...
"Schweiz";"Charterverkehr";"Jahrestotal";7326;17432;21814;18636;24864;34685;41501;39047;40904;37711;37901;40410;35870;32872;30569;30392;28094;24796;22050;19853;16100;12825;10965;11284;9012;9114;8692;6167;5762;6681;...
"Schweiz";"Charterverkehr";"Januar";...;...;...;...;...;...;...;...;...;...;...;2578;2485;2087;2079;2014;1967;1684;1552;1342;1277;1163;784;728;576;480;529;459;451;444;389
"Schweiz";"Charterverkehr";"Februar";...;...;...;...;...;...;...;...;...;...;...;2356;2211;1959;1922;1945;1842;1664;1502;1351;1218;1049;682;693;600;550;452;393;385;397;334
"Schweiz";"Charterverkehr";"März";...;...;...;...;...;...;...;...;...;...;...;2701;2652;2546;2385;2130;2153;1675;1728;1641;1293;1170;701;817;733;607;556;450;414;493;386
"Schweiz";"Charterverkehr";"April";...;...;...;...;...;...;...;...;...;...;...;3287;2939;2515;2241;2495;2144;2078;1728;1366;1210;1023;785;816;566;603;654;404;449;462;375
"Schweiz";"Charterverkehr";"Mai";...;...;...;...;...;...;...;...;...;...;...;3543;3132;2873;2547;2620;2469;2027;1821;1581;1365;1225;815;859;732;715;800;666;444;504;448
"Schweiz";"Charterverkehr";"Juni";...;...;...;...;...;...;...;...;...;...;...;3732;3352;3128;2778;2777;2511;2297;2152;2464;1386;1279;963;1089;857;869;884;549;444;600;549
"Schweiz";"Charterverkehr";"Juli";...;...;...;...;...;...;...;...;...;...;...;5204;4240;3866;3466;3634;3502;3040;2533;2065;1890;1598;1447;1621;1249;1200;1182;780;729;902;658
"Schweiz";"Charterverkehr";"August";...;...;...;...;...;...;...;...;...;...;...;4785;4126;4022;3626;3246;3113;2687;2423;2062;1865;1140;1214;1332;1097;1235;1080;713;633;801;668
"Schweiz";"Charterverkehr";"September";...;...;...;...;...;...;...;...;...;...;...;4072;3785;3236;2955;3091;2732;2673;2344;1906;1499;950;1149;1206;975;1006;941;567;567;685;627
"Schweiz";"Charterverkehr";"Oktober";...;...;...;...;...;...;...;...;...;...;...;3872;3561;3300;3229;3336;3022;2420;2187;1912;1556;1262;1360;1196;850;1101;990;593;602;701;...
"Schweiz";"Charterverkehr";"November";...;...;...;...;...;...;...;...;...;...;...;1947;1526;1589;1674;1532;1211;1161;967;1081;669;376;470;451;292;321;259;240;262;312;...
"Schweiz";"Charterverkehr";"Dezember";...;...;...;...;...;...;...;...;...;...;...;2333;1861;1751;1667;1572;1428;1390;1113;1082;872;590;595;476;485;427;365;353;382;380;...
">> Landesflughäfen";"Art des Verkehrs - Total";"Jahrestotal";30696;92772;179494;211813;233692;312710;368444;394485;414707;437990;477467;509584;482061;446652;409913;397572;404428;394174;408880;419474;398396;404921;434493;435147;429911;440135;445349;452788;454401;462376;...
">> Landesflughäfen";"Art des Verkehrs - Total";"Januar";...;...;...;...;...;...;...;...;...;...;...;40472;42093;35751;36720;31315;33148;32622;32837;34466;32606;32419;35362;34869;34161;33738;34550;34680;35214;35053;36338
">> Landesflughäfen";"Art des Verkehrs - Total";"Februar";...;...;...;...;...;...;...;...;...;...;...;38999;38390;33294;34122;30042;31229;30243;30964;33224;30239;30963;32848;33778;32091;31801;32497;34228;33385;33193;34209
">> Landesflughäfen";"Art des Verkehrs - Total";"März";...;...;...;...;...;...;...;...;...;...;...;42513;42867;37138;38161;32797;34827;33701;34726;35720;34213;35056;37059;37238;36253;36094;36959;37234;37913;37748;39087
">> Landesflughäfen";"Art des Verkehrs - Total";"April";...;...;...;...;...;...;...;...;...;...;...;42107;41122;36330;33171;32304;34065;32266;33703;35128;33569;28839;35984;35913;36056;36062;37167;37276;38534;38835;39930
